Date,Open,High,Low,Close
2020-01-01,9039.4599609375,9093.4296875,8943.5,9068.580078125
2020-01-08,9068.0302734375,9298.330078125,9059.3798828125,9251.330078125
2020-01-15,9253.759765625,9397.580078125,9231.1396484375,9370.8095703125
2020-01-22,9413.6103515625,9451.4296875,9088.0400390625,9269.6796875
2020-01-29,9318.259765625,9485.3798828125,9123.2197265625,9467.9697265625
2020-02-05,9574.099609375,9714.740234375,9454.9296875,9638.9404296875
2020-02-12,9688.599609375,9748.3203125,9650.01953125,9732.740234375
2020-02-19,9782.8095703125,9838.3701171875,8940.490234375,8965.6103515625
2020-02-26,9011.5498046875,9148.3203125,8264.16015625,8684.08984375
2020-03-04,8834.099609375,9019.9599609375,7930.43017578125,8344.25
2020-03-11,8136.25,8181.35986328125,6828.91015625,7334.77978515625
2020-03-18,6902.31982421875,7418.3701171875,6631.419921875,7417.85986328125
2020-03-25,7421.35986328125,7880.31005859375,7276.39990234375,7700.10009765625
2020-04-01,7459.5,8146.43017578125,7288.10986328125,7887.259765625
2020-04-08,7975.72021484375,8531.1103515625,7901.93994140625,8515.740234375
2020-04-15,8355.9599609375,8684.91015625,8215.6904296875,8263.23046875
2020-04-22,8434.5498046875,8830.5703125,8404.5400390625,8607.73046875
2020-04-29,8802.7001953125,8957.26953125,8537.830078125,8809.1201171875
2020-05-06,8874.7001953125,9250.9599609375,8819.3701171875,9002.5498046875
2020-05-13,9006.0498046875,9317.25,8705.25,9185.099609375
2020-05-20,9305.6201171875,9501.2099609375,9239.41015625,9340.2197265625
2020-05-27,9346.1201171875,9611.2197265625,9144.2802734375,9608.3798828125
2020-06-03,9651.8603515625,10002.5,9560.41015625,9953.75
2020-06-10,10012.3203125,10086.8896484375,9403.0,9895.8701171875
2020-06-17,9943.3095703125,10221.849609375,9872.9404296875,10131.3701171875
2020-06-24,10092.919921875,10137.5,9663.6103515625,10058.76953125
2020-07-01,10063.669921875,10518.98046875,10048.0400390625,10343.8896484375
2020-07-08,10409.349609375,10824.7802734375,10182.4599609375,10488.580078125
2020-07-15,10576.7197265625,10839.9296875,10364.3896484375,10680.3603515625
2020-07-22,10687.580078125,10745.3203125,10217.3095703125,10402.08984375
2020-07-29,10474.7001953125,10941.91015625,10412.08984375,10941.169921875
2020-08-05,10967.8701171875,11126.0400390625,10762.7099609375,10782.8203125
2020-08-12,10878.1201171875,11230.6201171875,10877.16015625,11210.83984375
2020-08-19,11214.7998046875,11468.259765625,11090.0302734375,11466.4697265625
2020-08-26,11516.6201171875,11945.7197265625,11507.4599609375,11939.669921875
2020-09-02,12047.259765625,12074.0595703125,10837.2001953125,10847.6904296875
2020-09-09,11064.759765625,11299.5302734375,10728.0302734375,11190.3203125
2020-09-16,11222.080078125,11245.419921875,10519.490234375,10963.6396484375
2020-09-23,10950.8203125,11153.23046875,10520.2197265625,11085.25
2020-09-30,11092.900390625,11392.41015625,11033.6904296875,11154.599609375
2020-10-07,11271.6796875,11965.5400390625,11258.349609375,11863.900390625
2020-10-14,11889.0703125,11939.919921875,11454.5703125,11516.490234375
2020-10-21,11530.3896484375,11613.7900390625,11221.0595703125,11431.349609375
2020-10-28,11230.900390625,11287.6298828125,10822.5703125,11160.5703125
2020-11-04,11443.76953125,12108.0703125,11394.2099609375,11553.8603515625
2020-11-11,11656.650390625,11950.1796875,11638.900390625,11899.33984375
2020-11-18,11896.0595703125,12049.8798828125,11760.98046875,12036.7900390625
2020-11-25,12053.8896484375,12405.7900390625,12020.9501953125,12355.1103515625
2020-12-02,12285.75,12594.5400390625,12217.349609375,12582.76953125
2020-12-09,12591.6904296875,12607.1396484375,12214.740234375,12595.0595703125
2020-12-16,12611.0400390625,12840.5703125,12525.2197265625,12807.919921875
2020-12-23,12834.9404296875,12973.330078125,12758.669921875,12850.2197265625
2020-12-30,12906.509765625,12958.7197265625,12543.240234375,12818.9599609375
2021-01-06,12666.150390625,13208.08984375,12649.990234375,13072.4296875
2021-01-13,13088.009765625,13220.16015625,12949.759765625,13197.1796875
2021-01-20,13342.5498046875,13728.98046875,13329.76953125,13626.0595703125
2021-01-27,13486.580078125,13652.7001953125,12985.0498046875,13612.7802734375
2021-02-03,13718.3095703125,14044.9501953125,13585.33984375,14007.7001953125
2021-02-10,14093.349609375,14175.1201171875,13845.4697265625,14047.5
2021-02-17,13911.650390625,13985.580078125,13003.98046875,13465.2001953125
2021-02-24,13400.25,13607.3603515625,13024.5302734375,13358.7900390625
2021-03-03,13336.25,13372.51953125,12397.0498046875,13073.8203125
2021-03-10,13234.73046875,13620.7099609375,13035.4404296875,13471.5703125
2021-03-17,13336.91015625,13595.0,13039.4501953125,13227.7001953125
2021-03-24,13289.240234375,13292.919921875,12786.8095703125,13045.3896484375
2021-03-31,13122.5703125,13776.7099609375,13118.3798828125,13698.3798828125
2021-04-07,13675.2998046875,14011.509765625,13653.58984375,13996.099609375
2021-04-14,14004.080078125,14062.5,13698.669921875,13786.26953125
2021-04-21,13745.76953125,14171.240234375,13706.8603515625,14090.2197265625
2021-04-28,14082.7802734375,14211.5703125,13485.58984375,13633.5
2021-05-05,13731.1298828125,13828.6201171875,13107.669921875,13389.4296875
2021-05-12,13215.490234375,13485.33984375,13002.5400390625,13303.6396484375
2021-05-19,13078.1904296875,13751.1396484375,13072.23046875,13657.169921875
2021-05-26,13693.9404296875,13836.169921875,13678.76953125,13736.48046875
2021-06-02,13743.240234375,13981.7197265625,13548.9296875,13924.91015625
2021-06-09,13980.23046875,14175.4501953125,13904.400390625,14072.8603515625
2021-06-16,14085.5498046875,14269.76953125,13903.73046875,14253.26953125
2021-06-23,14263.3798828125,14535.9697265625,14246.2998046875,14528.330078125
2021-06-30,14509.849609375,14687.0,14439.400390625,14663.6396484375
2021-07-07,14753.41015625,14803.6796875,14371.58984375,14677.650390625
2021-07-14,14780.900390625,14790.5498046875,14178.66015625,14498.8798828125
2021-07-21,14508.75,14863.650390625,14498.650390625,14660.580078125
2021-07-28,14715.66015625,14833.740234375,14584.08984375,14761.2900390625
2021-08-04,14747.2099609375,14896.4697265625,14734.1201171875,14788.08984375
2021-08-11,14834.3798828125,14850.6103515625,14550.8798828125,14656.1796875
2021-08-18,14636.240234375,15034.8896484375,14423.16015625,15019.7998046875
2021-08-25,15039.0302734375,15288.080078125,14939.5595703125,15259.240234375
2021-09-01,15308.98046875,15403.4404296875,15283.669921875,15374.330078125
2021-09-08,15360.349609375,15360.349609375,15008.2998046875,15037.759765625
2021-09-15,15071.33984375,15205.5,14530.0703125,14746.400390625
2021-09-22,14800.58984375,15085.4404296875,14539.8798828125,14546.6796875
2021-09-29,14614.8798828125,14676.6201171875,14181.6904296875,14433.830078125
2021-10-06,14289.4501953125,14755.7197265625,14259.0703125,14465.919921875
2021-10-13,14537.169921875,15137.849609375,14471.8798828125,15129.08984375
2021-10-20,15160.0,15384.0,15021.01953125,15235.7099609375
2021-10-27,15276.0,15656.599609375,15235.83984375,15649.599609375
2021-11-03,15658.51953125,16053.3896484375,15616.4404296875,15886.5400390625
2021-11-10,15753.83984375,15989.6103515625,15543.6796875,15973.8603515625
2021-11-17,15973.6201171875,16212.23046875,15601.4599609375,15775.1396484375
2021-11-24,15677.8798828125,15848.5595703125,15451.3896484375,15537.6904296875
2021-12-01,15752.26953125,15816.8203125,14931.0595703125,15686.919921875
2021-12-08,15690.650390625,15796.0498046875,15097.349609375,15237.6396484375
2021-12-15,15230.7099609375,15633.1904296875,14860.0400390625,15341.08984375
2021-12-22,15319.16015625,15901.4697265625,15303.0595703125,15781.7197265625
2021-12-29,15794.919921875,15868.08984375,15512.41015625,15622.7197265625
2022-01-05,15547.16015625,15586.2998046875,14530.23046875,15153.4501953125
2022-01-12,15263.099609375,15319.0302734375,14482.9404296875,14506.900390625
2022-01-19,14582.2197265625,14658.8896484375,13094.650390625,13539.2900390625
2022-01-26,13871.76953125,14358.6904296875,13236.5595703125,14346.0
2022-02-02,14494.4697265625,14504.8203125,13850.3896484375,14194.4501953125
2022-02-09,14368.16015625,14509.5595703125,13664.759765625,14139.759765625
2022-02-16,14038.919921875,14163.73046875,13249.650390625,13381.51953125
2022-02-23,13511.75,13810.6396484375,12587.8798828125,13532.4599609375
2022-03-02,13597.5302734375,13837.58984375,12670.080078125,12795.5498046875
2022-03-09,13113.7001953125,13301.16015625,12555.349609375,12948.6201171875
2022-03-16,13119.3701171875,14141.0703125,12992.2001953125,14108.8203125
2022-03-23,13990.349609375,14646.900390625,13897.2001953125,14619.6396484375
2022-03-30,14558.58984375,14609.25,14131.8095703125,14204.169921875
2022-04-06,14002.580078125,14032.83984375,13317.740234375,13371.5703125
2022-04-13,13373.1201171875,13679.4296875,13222.0302734375,13619.66015625
2022-04-20,13665.3798828125,13710.7001953125,12490.740234375,12490.740234375
2022-04-27,12500.8798828125,12948.51953125,12202.41015625,12563.759765625
2022-05-04,12574.73046875,12985.009765625,11566.2802734375,11737.669921875
2022-05-11,11645.5703125,11988.4296875,11108.759765625,11984.51953125
2022-05-18,11790.6796875,11826.2197265625,11035.6904296875,11264.4501953125
2022-05-25,11225.0302734375,12190.080078125,11211.849609375,12081.3896484375
2022-06-01,12176.8896484375,12320.1201171875,11888.6103515625,12175.23046875
2022-06-08,12147.2802734375,12235.7802734375,10733.0400390625,10828.349609375
2022-06-15,10968.400390625,11244.259765625,10565.1396484375,11069.2998046875
2022-06-22,10941.9501953125,11677.490234375,10938.0595703125,11181.5400390625
2022-06-29,11160.2197265625,11323.8896484375,10850.009765625,11322.240234375
2022-07-06,11337.900390625,11689.7001953125,11207.080078125,11264.73046875
2022-07-13,11056.5498046875,11721.2197265625,11005.9296875,11713.150390625
2022-07-20,11726.08984375,12093.01953125,11533.3701171875,11562.5703125
2022-07-27,11756.1904296875,12503.33984375,11718.3798828125,12348.759765625
2022-08-03,12433.8701171875,12855.150390625,12425.2099609375,12493.9296875
2022-08-10,12793.4404296875,13181.08984375,12698.6103515625,13102.5498046875
2022-08-17,12968.6298828125,13053.509765625,12352.0302734375,12381.2998046875
2022-08-24,12375.150390625,12655.83984375,11790.01953125,11883.1396484375
2022-08-31,11972.5595703125,12027.4296875,11471.5,11544.91015625
2022-09-07,11559.3798828125,12270.1904296875,11555.080078125,11633.5703125
2022-09-14,11680.41015625,11760.73046875,11316.919921875,11425.0498046875
2022-09-21,11466.2099609375,11613.5703125,10732.7197265625,10829.5
2022-09-28,10817.51953125,11189.9599609375,10572.330078125,11176.41015625
2022-10-05,11022.669921875,11230.4404296875,10351.98046875,10426.1904296875
2022-10-12,10437.0,10972.9697265625,10088.830078125,10772.400390625
2022-10-19,10689.3095703125,11210.3798828125,10542.4296875,11199.1201171875
2022-10-26,10969.01953125,11205.83984375,10766.2001953125,10890.849609375
2022-11-02,10885.009765625,10993.240234375,10262.9296875,10616.2001953125
2022-11-09,10528.4501953125,11492.6201171875,10344.009765625,11358.41015625
2022-11-16,11260.099609375,11286.099609375,10975.66015625,11174.41015625
2022-11-23,11174.6103515625,11310.8203125,10944.3701171875,10983.7802734375
2022-11-30,10995.2001953125,11546.76953125,10956.2001953125,11014.8896484375
2022-12-07,10963.9501953125,11571.6396484375,10910.6201171875,11256.8095703125
2022-12-14,11248.08984375,11352.08984375,10446.8203125,10547.1103515625
2022-12-21,10592.0,10753.5703125,10313.3203125,10353.23046875
2022-12-28,10339.2001953125,10613.0595703125,10207.4697265625,10386.98046875
2023-01-04,10467.8203125,10807.259765625,10265.0400390625,10742.6298828125
2023-01-11,10794.990234375,11145.4404296875,10762.73046875,11095.1103515625
2023-01-18,11170.9501953125,11405.5,10804.5703125,11334.26953125
2023-01-25,11146.5302734375,11691.8896484375,11069.1796875,11584.5498046875
2023-02-01,11573.1396484375,12269.5498046875,11500.330078125,12113.7900390625
2023-02-08,12069.1201171875,12096.3896484375,11630.5400390625,11960.150390625
2023-02-15,11905.1201171875,12071.2900390625,11491.1796875,11492.2998046875
2023-02-22,11517.2001953125,11638.98046875,11334.4697265625,11455.5400390625
2023-03-01,11447.580078125,11827.919921875,11273.6103515625,11530.330078125
2023-03-08,11553.08984375,11667.1201171875,10982.7998046875,11428.150390625
2023-03-15,11291.169921875,11879.16015625,11238.4404296875,11860.1103515625
2023-03-22,11857.5,12013.990234375,11635.0302734375,11716.080078125
2023-03-29,11855.58984375,12227.9296875,11823.349609375,12126.330078125
2023-04-05,12081.759765625,12098.5,11898.3603515625,12031.8798828125
2023-04-12,12110.8701171875,12245.4296875,11916.5400390625,12153.41015625
2023-04-19,12063.6796875,12191.099609375,11798.76953125,11799.16015625
2023-04-26,11913.23046875,12261.3203125,11833.0703125,12080.509765625
2023-05-03,12097.0400390625,12264.990234375,11925.3701171875,12179.5498046875
2023-05-10,12286.66015625,12403.8095703125,12180.8603515625,12343.0498046875
2023-05-17,12388.580078125,12756.23046875,12335.01953125,12560.25
2023-05-24,12481.8896484375,13154.2900390625,12415.849609375,13017.4296875
2023-05-31,12968.3798828125,13330.650390625,12889.3701171875,13276.419921875
2023-06-07,13295.259765625,13594.400390625,13089.48046875,13573.3203125
2023-06-14,13570.5595703125,13864.0595703125,13455.990234375,13667.2900390625
2023-06-21,13620.8701171875,13638.5703125,13334.419921875,13555.669921875
2023-06-28,13506.01953125,13839.08984375,13495.73046875,13816.76953125
2023-07-05,13772.099609375,13844.5,13567.25,13760.7001953125
2023-07-12,13915.6396484375,14396.6904296875,13842.1298828125,14353.6396484375
2023-07-19,14398.5302734375,14446.5498046875,13997.1298828125,14144.5595703125
2023-07-26,14123.51953125,14370.91015625,14006.9296875,14283.91015625
2023-08-02,14132.73046875,14133.849609375,13769.33984375,13884.3203125
2023-08-09,13897.6103515625,13947.16015625,13582.490234375,13631.0498046875
2023-08-16,13593.169921875,13644.3203125,13161.759765625,13505.8701171875
2023-08-23,13532.4296875,13959.8095703125,13376.349609375,13943.759765625
2023-08-30,13961.76953125,14149.6201171875,13924.2001953125,14020.9501953125
2023-09-06,13988.8095703125,14001.9501953125,13642.4697265625,13773.6103515625
2023-09-13,13773.669921875,13957.5703125,13578.8701171875,13678.1904296875
2023-09-20,13710.259765625,13727.8095703125,13033.400390625,13063.6103515625
2023-09-27,13115.3603515625,13382.98046875,12963.16015625,13059.4697265625
2023-10-04,13092.919921875,13659.6298828125,13072.509765625,13562.83984375
2023-10-11,13619.2099609375,13714.1396484375,13361.849609375,13533.75
2023-10-18,13439.6796875,13499.740234375,12848.830078125,13139.8701171875
2023-10-25,13039.8603515625,13042.51953125,12543.8603515625,12851.240234375
